Date,close
2015011223:40:00,247.6
2015011223:45:00,247.6
2015011223:50:00,247.36
2015011223:55:00,247.46
2015011300:00:00,247.42
2015011300:05:00,247.42
2015011300:10:00,247.56
2015011300:15:00,247.44
2015011300:20:00,247.36
2015011300:25:00,247.32
2015011300:30:00,247.42
2015011300:35:00,247.34
2015011300:40:00,247.36
2015011300:45:00,247.46
2015011300:50:00,247.4
2015011300:55:00,247.44
2015011301:00:00,247.44
2015011301:05:00,247.4
2015011301:10:00,247.34
2015011301:15:00,247.4
2015011301:20:00,247.46
2015011301:25:00,247.56
2015011301:30:00,247.8
2015011301:35:00,247.84
2015011301:40:00,247.8
2015011301:45:00,247.76
2015011301:50:00,247.7
2015011301:55:00,247.86
2015011302:00:00,247.7
2015011302:05:00,247.82
2015011302:10:00,247.8
2015011302:15:00,247.84
2015011302:20:00,247.82
2015011302:25:00,248.6
2015011302:30:00,248.7
2015011309:05:00,248.5
2015011309:15:00,248.52
2015011309:20:00,248.76
2015011309:25:00,249.4
2015011309:30:00,249.3
2015011309:35:00,249.3
2015011309:40:00,249.22
2015011309:45:00,249.16
2015011309:50:00,249.2
2015011309:55:00,249.16
2015011310:00:00,249.16
2015011310:05:00,249.26
2015011310:10:00,249.26
2015011310:15:00,249.26
2015011310:35:00,249.16
2015011310:40:00,249.24
2015011310:45:00,249.5
2015011310:50:00,249.46
2015011310:55:00,249.5
2015011311:00:00,249.62
2015011311:05:00,249.76
2015011311:10:00,249.6
2015011311:15:00,249.56
2015011311:20:00,249.56
2015011311:25:00,249.42
2015011311:30:00,249.5
2015011313:35:00,249.26
2015011313:40:00,249.2
2015011313:45:00,249.1
2015011313:50:00,249.2
2015011313:55:00,249.26
2015011314:00:00,249.26
2015011314:05:00,249.14
2015011314:10:00,249
2015011314:15:00,248.94
2015011314:20:00,248.76
2015011314:25:00,248.6
2015011314:30:00,248.66
2015011314:35:00,248.86
2015011314:40:00,248.9
2015011314:45:00,249.04
2015011314:50:00,249.06
2015011314:55:00,249
2015011321:10:00,249.9
2015011321:15:00,250.12
2015011321:20:00,250.14
2015011321:25:00,249.8
2015011321:30:00,249.94
2015011321:35:00,249.8
2015011321:40:00,249.92
2015011321:45:00,249.56
2015011321:50:00,249.62
2015011321:55:00,249.76
2015011322:00:00,249.8
2015011322:05:00,249.66
2015011322:10:00,249.7
2015011322:15:00,249.7
2015011322:20:00,249.92
2015011322:25:00,249.82
2015011322:30:00,249.76
2015011322:35:00,249.2
2015011322:40:00,249.36
2015011322:45:00,249.2
2015011322:50:00,249.1
2015011322:55:00,249.36
2015011323:00:00,249.16
2015011323:05:00,248.76
2015011323:10:00,249
2015011323:15:00,249.16
2015011323:20:00,249.1
2015011323:25:00,248.96
2015011323:30:00,249
2015011323:35:00,249.12
2015011323:40:00,249.3
2015011323:45:00,249.22
2015011323:50:00,249.16
2015011323:55:00,249.06
2015011400:00:00,249.06
2015011400:05:00,249.1
2015011400:10:00,249.06
2015011400:15:00,249.06
2015011400:20:00,249.46
2015011400:25:00,249.5
2015011400:30:00,249.7
2015011400:35:00,249.56
2015011400:40:00,249.44
2015011400:45:00,249.36
2015011400:50:00,249.36
2015011400:55:00,249.44
2015011401:00:00,249.32
2015011401:05:00,249.14
2015011401:10:00,249.16
2015011401:15:00,249.16
2015011401:20:00,249.2
2015011401:25:00,249.26
2015011401:30:00,249.16
2015011401:35:00,249.2
2015011401:40:00,249.32
2015011401:45:00,249.32
2015011401:50:00,249.32
2015011401:55:00,249.2
2015011402:00:00,249.26
2015011402:05:00,249.16
2015011402:10:00,249.16
2015011402:15:00,249.06
2015011402:20:00,248.82
2015011402:25:00,249
2015011402:30:00,248.6
2015011409:05:00,248.6
2015011409:15:00,248.5
2015011409:20:00,248.2
2015011409:25:00,247.7
2015011409:30:00,247.5
2015011409:35:00,247.6
2015011409:40:00,247.56
2015011409:45:00,247.7
2015011409:50:00,247.76
2015011409:55:00,247.66
2015011410:00:00,247.64
2015011410:05:00,246.7
2015011410:10:00,246.72
2015011410:15:00,246.76
2015011410:35:00,247.32
2015011410:40:00,247.1
2015011410:45:00,247.06
2015011410:50:00,247.4
2015011410:55:00,247.52
2015011411:00:00,247.5
2015011411:05:00,247.3
2015011411:10:00,247.06
2015011411:15:00,246.9
2015011411:20:00,247.1
2015011411:25:00,247.06
2015011411:30:00,246.7
2015011413:35:00,246.8
2015011413:40:00,246.5
2015011413:45:00,246.7
2015011413:50:00,246.84
2015011413:55:00,246.9
2015011414:00:00,246.94
2015011414:05:00,246.92
2015011414:10:00,246.96
2015011414:15:00,247.12
2015011414:20:00,247.16
2015011414:25:00,247.3
2015011414:30:00,247.52
2015011414:35:00,247.46
2015011414:40:00,247.4
2015011414:45:00,247.5
2015011414:50:00,247.52
2015011414:55:00,247.86
2015011421:10:00,247.76
2015011421:15:00,248.02
2015011421:20:00,247.94
2015011421:25:00,248.1
2015011421:30:00,247.96
2015011421:35:00,249
2015011421:40:00,248.92
2015011421:45:00,248.86
2015011421:50:00,249.24
2015011421:55:00,249.36
2015011422:00:00,249.26
2015011422:05:00,249.56
2015011422:10:00,249.86
2015011422:15:00,249.4
2015011422:20:00,249.5
2015011422:25:00,249.1
2015011422:30:00,249.26
2015011422:35:00,249.2
2015011422:40:00,249.2
2015011422:45:00,249.16
2015011422:50:00,249.02
2015011422:55:00,248.64
2015011423:00:00,248.7
2015011423:05:00,248.66
2015011423:10:00,248.7
2015011423:15:00,248.86
2015011423:20:00,248.76
2015011423:25:00,249.16
2015011423:30:00,248.96
2015011423:35:00,249.06
2015011423:40:00,249.26
2015011423:45:00,249
2015011423:50:00,249
2015011423:55:00,249.16
2015011500:00:00,248.9
2015011500:05:00,248.92
2015011500:10:00,248.92
2015011500:15:00,248.8
2015011500:20:00,249.1
2015011500:25:00,248.94
2015011500:30:00,249.02
2015011500:35:00,248.94
2015011500:40:00,249.02
2015011500:45:00,248.94
2015011500:50:00,248.8
2015011500:55:00,248.8
2015011501:00:00,248.92
2015011501:05:00,248.82
2015011501:10:00,249.02
2015011501:15:00,249
2015011501:20:00,249.06
2015011501:25:00,248.94
2015011501:30:00,249
2015011501:35:00,249
2015011501:40:00,249.06
2015011501:45:00,249.06
2015011501:50:00,249
2015011501:55:00,249
2015011502:00:00,249.06
2015011502:05:00,249.02
2015011502:10:00,249.06
2015011502:15:00,249.06
2015011502:20:00,249.06
2015011502:25:00,249.06
2015011502:30:00,248.66
2015011509:05:00,247.4
2015011509:15:00,247.16
2015011509:20:00,247.16
2015011509:25:00,247.44
2015011509:30:00,247.34
2015011509:35:00,247.14
2015011509:40:00,247.24
2015011509:45:00,246.94
2015011509:50:00,247.06
2015011509:55:00,247.1
2015011510:00:00,247.2
2015011510:05:00,247
2015011510:10:00,247.26
2015011510:15:00,247.32
2015011510:35:00,247.52
2015011510:40:00,247.3
2015011510:45:00,247.46
2015011510:50:00,247.56
2015011510:55:00,247.56
2015011511:00:00,247.36
2015011511:05:00,247.4
2015011511:10:00,247.52
2015011511:15:00,247.42
2015011511:20:00,247.46
2015011511:25:00,247.56
2015011511:30:00,247.46
2015011513:35:00,247.42
2015011513:40:00,247.36
2015011513:45:00,247.26
2015011513:50:00,247.24
2015011513:55:00,247.26
2015011514:00:00,247.26
2015011514:05:00,247
2015011514:10:00,246.92
2015011514:15:00,246.96
2015011514:20:00,246.92
2015011514:25:00,246.86
2015011514:30:00,246.6
2015011514:35:00,246.56
2015011514:40:00,246.62
2015011514:45:00,246.6
2015011514:50:00,246.82
2015011514:55:00,247.02
2015011521:10:00,252.1
2015011521:15:00,251.9
2015011521:20:00,251.96
2015011521:25:00,252.16
2015011521:30:00,252.26
2015011521:35:00,252.1
2015011521:40:00,252.06
2015011521:45:00,252.02
2015011521:50:00,252.26
2015011521:55:00,252.1
2015011522:00:00,252.06
2015011522:05:00,252.12
2015011522:10:00,251.4
2015011522:15:00,251.4
2015011522:20:00,251.36
2015011522:25:00,251.46
2015011522:30:00,251.7
2015011522:35:00,251.9
2015011522:40:00,252.06
2015011522:45:00,252.5
2015011522:50:00,252.3
2015011522:55:00,252.46
2015011523:00:00,252.06
2015011523:05:00,252.26
2015011523:10:00,252.56
2015011523:15:00,252.96
2015011523:20:00,252.76
2015011523:25:00,252.52
2015011523:30:00,252.1
2015011523:35:00,252.2
2015011523:40:00,252.1
2015011523:45:00,252.02
2015011523:50:00,252.06
2015011523:55:00,252.2
2015011600:00:00,252.3
2015011600:05:00,252.54
2015011600:10:00,252.76
2015011600:15:00,252.96
2015011600:20:00,252.76
2015011600:25:00,252.66
2015011600:30:00,253
2015011600:35:00,252.84
2015011600:40:00,252.94
2015011600:45:00,252.76
2015011600:50:00,252.66
2015011600:55:00,252.42
2015011601:00:00,252.76
2015011601:05:00,252.76
2015011601:10:00,252.8
2015011601:15:00,252.7
2015011601:20:00,252.6
2015011601:25:00,252.82
2015011601:30:00,252.56
2015011601:35:00,252.6
2015011601:40:00,252.6
2015011601:45:00,252.82
2015011601:50:00,252.8
2015011601:55:00,252.76
2015011602:00:00,252.7
2015011602:05:00,252.7
2015011602:10:00,252.9
2015011602:15:00,252.82
2015011602:20:00,252.7
2015011602:25:00,252.8
2015011602:30:00,253.06
2015011609:05:00,252.4
2015011609:15:00,252.6
2015011609:20:00,252.96
2015011609:25:00,252.9
2015011609:30:00,253.3
2015011609:35:00,253.2
2015011609:40:00,253.26
2015011609:45:00,253.1
2015011609:50:00,253.16
2015011609:55:00,253
2015011610:00:00,253.06
2015011610:05:00,253.02
2015011610:10:00,253
2015011610:15:00,252.96
2015011610:35:00,253.12
2015011610:40:00,253.06
2015011610:45:00,253.16
2015011610:50:00,253.32
2015011610:55:00,253.2
2015011611:00:00,253.2
2015011611:05:00,253.16
2015011611:10:00,253.22
2015011611:15:00,253.16
2015011611:20:00,253.1
2015011611:25:00,253.06
2015011611:30:00,252.9
2015011613:35:00,252.96
2015011613:40:00,252.9
2015011613:45:00,252.9
2015011613:50:00,252.94
2015011613:55:00,252.92
2015011614:00:00,252.76
2015011614:05:00,252.76
2015011614:10:00,252.76
2015011614:15:00,252.96
2015011614:20:00,252.8
2015011614:25:00,252.9
2015011614:30:00,253.06
2015011614:35:00,252.94
2015011614:40:00,253.1
2015011614:45:00,253.46
2015011614:50:00,253.32
2015011614:55:00,253.44
